ref_date,city,province,crime_severity_index,percent_change_in_crime_severity_index,violent_crime_severity_index,percent_change_in_violent_crime_severity_index,non_violent_crime_severity_index,percent_change_in_youth_non_violent_crime_severity_index,weighted_clearance_rate,percent_change_in_weighted_clearance_rate,violent_weighted_clearance_rate,percent_change_in_violent_weighted_clearance_rate,non_violent_weighted_clearance_rate,percent_change_in_non_violent_weighted_clearance_rate
2018,Ottawa-Gatineau,Ontario/Quebec,55.05,4.86,69.82,6.6,49.61,NA,39.08,-3.89,57.1,-4.05,29.96,-4.46
2019,Ottawa-Gatineau,Ontario/Quebec,56.93,3.42,69.87,0.07,52.15,NA,38.51,-1.46,54.77,-4.08,30.67,2.37
2020,Ottawa-Gatineau,Ontario/Quebec,48.47,-14.86,60.15,-13.91,44.16,NA,38.13,-0.99,56.24,2.68,29.25,-4.63
2021,Ottawa-Gatineau,Ontario/Quebec,49.32,1.75,64.69,7.55,43.68,NA,35.38,-7.21,52.31,-6.99,26.35,-9.91
2000,Saskatoon,Saskatchewan,186.08,6.44,177.47,11.31,189.39,NA,34.12,0.68,50.39,-0.24,28.25,-0.04
2001,Saskatoon,Saskatchewan,184,-1.12,172.5,-2.8,188.43,NA,35.48,3.99,48.97,-2.82,30.73,8.78
2002,Saskatoon,Saskatchewan,183.04,-0.52,188.77,9.43,180.83,NA,35.47,-0.03,49.56,1.2,29.82,-2.96
2003,Saskatoon,Saskatchewan,219.5,19.92,227.84,20.7,216.29,NA,30.5,-14.01,42.1,-15.05,25.81,-13.45
2004,Saskatoon,Saskatchewan,190.69,-13.13,178.68,-21.58,195.3,NA,34.22,12.2,48.62,15.49,29.15,12.94
2005,Saskatoon,Saskatchewan,183.29,-3.88,199.98,11.92,176.87,NA,33.01,-3.54,41.11,-15.45,29.48,1.13
2006,Saskatoon,Saskatchewan,165.24,-9.85,205.05,2.54,149.93,0,33.47,1.39,38.51,-6.32,30.82,4.55
2007,Saskatoon,Saskatchewan,158.14,-4.3,208.54,1.7,138.76,0,35.62,6.42,40.22,4.44,32.96,6.94
2008,Saskatoon,Saskatchewan,138.85,-12.2,165.52,-20.63,128.59,0,36.55,2.61,40.41,0.47,34.64,5.1
2009,Saskatoon,Saskatchewan,133.48,-3.87,156.16,-5.65,124.76,0,31.68,-13.32,36.38,-9.97,29.42,-15.07
2010,Saskatoon,Saskatchewan,128.62,-3.64,156.39,0.15,117.94,0,36.02,13.7,41.77,14.82,33.09,12.47
2011,Saskatoon,Saskatchewan,114.84,-10.71,130.48,-16.57,108.91,NA,37.07,2.92,43.43,3.97,34.3,3.66
2012,Saskatoon,Saskatchewan,107.72,-6.2,127.09,-2.6,100.45,NA,39.42,6.34,45.94,5.78,36.42,6.18
2013,Saskatoon,Saskatchewan,100.84,-6.39,111.79,-12.04,96.65,NA,38.01,-3.58,46.89,2.07,34.27,-5.9
2014,Saskatoon,Saskatchewan,111.67,10.74,124.08,10.99,106.92,NA,36.85,-3.05,48.99,4.48,31.72,-7.44
2015,Saskatoon,Saskatchewan,114.78,2.78,115.32,-7.06,114.34,NA,37,0.41,52,6.14,31.49,-0.73
2016,Saskatoon,Saskatchewan,118.73,3.44,112.64,-2.32,120.63,NA,36.98,-0.05,48.55,-6.63,33.09,5.08
2017,Saskatoon,Saskatchewan,117.89,-0.71,111.43,-1.07,119.94,NA,35.89,-2.95,40.81,-15.94,34.24,3.48
2018,Saskatoon,Saskatchewan,118.12,0.2,109.35,-1.87,120.99,NA,34.39,-4.18,46.31,13.48,30.51,-10.89
2019,Saskatoon,Saskatchewan,118.04,-0.07,137.05,25.33,110.93,NA,35.64,3.63,49.05,5.92,29.68,-2.72
2020,Saskatoon,Saskatchewan,105.77,-10.39,120.56,-12.03,100.2,NA,36.15,1.43,47.92,-2.3,31.05,4.62
2021,Saskatoon,Saskatchewan,105.97,0.19,121.44,0.73,100.16,NA,34.66,-4.12,42.83,-10.62,31.1,0.16
2000,St.Catharines-Niagara,Ontario,93.09,-8.64,62.23,-7.17,104.95,NA,34.56,3.78,64.71,0.4,27.68,5.13
2001,St.Catharines-Niagara,Ontario,98.6,5.92,63.86,2.62,111.96,NA,36.28,4.98,68.9,6.48,29.12,5.2
2002,St.Catharines-Niagara,Ontario,100.55,1.98,76.28,19.45,109.89,NA,36.67,1.07,69.05,0.22,28.03,-3.74
2003,St.Catharines-Niagara,Ontario,92.85,-7.66,67.88,-11.01,102.45,NA,32.87,-10.36,59.47,-13.87,26.09,-6.92
2004,St.Catharines-Niagara,Ontario,79.43,-14.45,61.53,-9.35,86.32,NA,33.49,1.89,59.83,0.61,26.27,0.69
2005,St.Catharines-Niagara,Ontario,83.56,5.2,72.05,17.1,87.99,NA,35.44,5.82,66.12,10.51,25.79,-1.83
2006,St.Catharines-Niagara,Ontario,85.1,1.84,72.75,0.97,89.84,0,32.03,-9.62,62.72,-5.14,22.48,-12.83
2007,St.Catharines-Niagara,Ontario,80.31,-5.63,64.92,-10.76,86.23,0,31.84,-0.59,57.91,-7.67,24.29,8.05
2008,St.Catharines-Niagara,Ontario,80.35,0.05,68.6,5.67,84.86,0,32.14,0.94,57.79,-0.21,24.16,-0.54
2009,St.Catharines-Niagara,Ontario,76.29,-5.05,63.83,-6.95,81.08,0,33.07,2.89,62.77,8.62,24.08,-0.33
2010,St.Catharines-Niagara,Ontario,70.36,-7.77,57.24,-10.32,75.41,0,35.68,7.89,61.22,-2.47,28.22,17.19
2011,St.Catharines-Niagara,Ontario,61.45,-12.66,48.66,-14.99,65.98,NA,38.61,8.21,72.27,18.05,29.57,4.78
2012,St.Catharines-Niagara,Ontario,64.05,4.23,54.22,11.43,67.5,NA,38.19,-1.09,68.51,-5.2,29.32,-0.85
2013,St.Catharines-Niagara,Ontario,57.24,-10.63,48.89,-9.83,60.16,NA,37,-3.12,64.99,-5.14,28.73,-2.01
2014,St.Catharines-Niagara,Ontario,50.98,-10.94,41.36,-15.4,54.37,NA,37.13,0.35,67.43,3.75,28.75,0.07
2015,St.Catharines-Niagara,Ontario,51.83,1.67,42.09,1.76,55.26,NA,37.19,0.16,70.1,3.96,28.06,-2.4
2016,St.Catharines-Niagara,Ontario,49.65,-4.21,38.11,-9.46,53.68,NA,35.35,-4.95,61.2,-12.7,28.75,2.46
2017,St.Catharines-Niagara,Ontario,59.99,20.83,45.88,20.39,64.92,NA,31.4,-11.17,57.98,-5.26,24.64,-14.3
2018,St.Catharines-Niagara,Ontario,69.4,15.69,54.37,18.5,74.65,NA,28.54,-9.11,55.97,-3.47,21.35,-13.35
2019,St.Catharines-Niagara,Ontario,64.4,-7.2,57.06,4.95,66.89,NA,32.69,14.54,56.74,1.38,25.32,18.59
2020,St.Catharines-Niagara,Ontario,58.77,-8.74,58.78,3.01,58.63,NA,32.8,0.34,53.01,-6.57,25.52,0.79
2021,St.Catharines-Niagara,Ontario,62.12,5.7,64.23,9.27,61.22,NA,33.59,2.41,55.4,4.51,25.36,-0.63
2000,Thunder Bay,Ontario,114.55,-0.09,97.19,-14.68,121.22,NA,39.86,-24.09,72.17,-11.63,29.9,-27.76
2001,Thunder Bay,Ontario,110.31,-3.7,108.19,11.32,111.13,NA,45.38,13.85,77.41,7.26,33.38,11.64
2002,Thunder Bay,Ontario,95.18,-13.72,89.59,-17.19,97.33,NA,45.59,0.46,74.17,-4.19,35.48,6.29
2003,Thunder Bay,Ontario,105.73,11.08,94.7,5.7,109.97,NA,41.04,-9.98,67.15,-9.46,32.39,-8.71
2004,Thunder Bay,Ontario,109.38,3.45,100.44,6.06,112.81,NA,39.8,-3.02,63.82,-4.96,31.57,-2.53
2005,Thunder Bay,Ontario,109.97,0.54,117.84,17.32,106.95,NA,41.3,3.77,64.27,0.71,31.56,-0.03
2006,Thunder Bay,Ontario,110.97,0.91,124.85,5.95,105.64,0,40.94,-0.87,63.37,-1.4,30.74,-2.6
2007,Thunder Bay,Ontario,110.4,-0.51,130.45,4.49,102.7,0,41.94,2.44,64.12,1.18,31.11,1.2
2008,Thunder Bay,Ontario,106.87,-3.2,116.74,-10.51,103.08,0,38.79,-7.51,57.92,-9.67,30.46,-2.09
2009,Thunder Bay,Ontario,112.77,5.52,137.77,18.01,103.15,0,44.55,14.85,68.75,18.7,32.13,5.48
2010,Thunder Bay,Ontario,111.96,-0.72,139.47,1.23,101.39,0,45.05,1.12,64.89,-5.61,34.55,7.53
2011,Thunder Bay,Ontario,105.72,-5.57,124.48,-10.75,98.68,NA,43.21,-4.08,65.83,1.45,32.83,-4.98
2012,Thunder Bay,Ontario,88.01,-16.75,119.08,-4.34,76.53,NA,47.58,10.11,69.07,4.92,35.41,7.86
2013,Thunder Bay,Ontario,81.39,-7.52,112.76,-5.31,69.81,NA,43.63,-8.3,61.78,-10.55,32.97,-6.89
2014,Thunder Bay,Ontario,89.57,10.05,137.81,22.22,71.83,NA,51.73,18.57,75.88,22.82,34.87,5.76
2015,Thunder Bay,Ontario,80.09,-10.58,119.51,-13.28,65.58,NA,46.52,-10.07,63.99,-15.67,34.94,0.2
2016,Thunder Bay,Ontario,83.84,4.68,124.05,3.8,69.17,NA,48.34,3.91,70.12,9.58,34.29,-1.86
2017,Thunder Bay,Ontario,86.55,3.23,142.73,15.06,66.14,NA,48.58,0.5,65.84,-6.1,35.19,2.62
2018,Thunder Bay,Ontario,99.09,14.49,163.87,14.81,75.55,NA,42.55,-12.41,58.09,-11.77,30.44,-13.5
2019,Thunder Bay,Ontario,101.79,2.72,147.26,-10.14,85.2,NA,45.94,7.97,67.04,15.41,32.81,7.79
2020,Thunder Bay,Ontario,94.86,-6.81,156.42,6.22,72.49,NA,56.19,22.31,71.47,6.61,44.34,35.14
2021,Thunder Bay,Ontario,101.31,6.8,176.3,12.71,74.09,NA,54.54,-2.94,69.44,-2.84,41.79,-5.75
2000,Toronto,Ontario,79.08,-3.48,97.88,3.69,71.84,NA,40.76,9.89,55.26,9.17,33.16,7.91
2001,Toronto,Ontario,80.04,1.21,100.01,2.18,72.36,NA,39.61,-2.82,55.83,1.03,31,-6.51
2002,Toronto,Ontario,78.54,-1.87,95.86,-4.15,71.88,NA,38.35,-3.18,54.07,-3.15,30.29,-2.29
2003,Toronto,Ontario,77.02,-1.94,95.88,0.02,69.77,NA,35.46,-7.54,49.28,-8.86,28.15,-7.07
2004,Toronto,Ontario,72.32,-6.1,91.82,-4.23,64.82,NA,37.02,4.4,49.58,0.61,30.19,7.25
2005,Toronto,Ontario,71.97,-0.48,98.12,6.86,61.91,NA,41.42,11.89,54.47,9.86,33.47,10.86
2006,Toronto,Ontario,73.21,1.72,100.5,2.43,62.72,0,40.88,-1.3,54.35,-0.22,32.58,-2.66
2007,Toronto,Ontario,70.74,-3.37,103.37,2.86,58.19,0,40.66,-0.54,54.3,-0.09,31.34,-3.81
2008,Toronto,Ontario,67.01,-5.27,98.38,-4.83,54.94,0,40.61,-0.12,52.39,-3.52,32.5,3.7
2009,Toronto,Ontario,64.31,-4.03,96.34,-2.07,51.99,0,41.23,1.53,52.98,1.13,32.86,1.11
2010,Toronto,Ontario,60.26,-6.3,90.09,-6.49,48.79,0,40.32,-2.21,50.46,-4.76,33.12,0.79
2011,Toronto,Ontario,56.07,-6.95,83.67,-7.13,45.9,NA,40.01,-0.77,52.49,4.02,31.72,-4.23
2012,Toronto,Ontario,52.74,-5.94,79.14,-5.41,43.02,NA,41.41,3.5,53.52,1.96,33.3,4.98
2013,Toronto,Ontario,47.12,-10.66,67.99,-14.09,39.42,NA,42.35,2.27,54.92,2.62,34.46,3.48
2014,Toronto,Ontario,45.07,-4.35,63.8,-6.16,38.17,NA,41.82,-1.25,53.95,-1.77,34.44,-0.06
2015,Toronto,Ontario,46.16,2.42,65.7,2.98,38.96,NA,41.94,0.29,55.07,2.08,33.89,-1.6
2016,Toronto,Ontario,47.88,3.73,70.64,7.52,39.58,NA,41.56,-0.91,54.81,-0.47,33.06,-2.45
2017,Toronto,Ontario,49.86,4.14,73.44,3.96,41.26,NA,41.01,-1.32,54.52,-0.53,32.36,-2.12
2018,Toronto,Ontario,53.8,7.9,79.01,7.58,44.6,NA,39.38,-3.97,55.27,1.38,29.26,-9.58
2019,Toronto,Ontario,54.15,0.65,77.91,-1.39,45.48,NA,37.71,-4.24,53.7,-2.84,27.87,-4.75
2020,Toronto,Ontario,46.19,-14.7,66.23,-14.99,38.87,NA,38.39,1.8,56.06,4.39,27.56,-1.11
2021,Toronto,Ontario,45.45,-1.6,65.01,-1.84,38.31,NA,37.45,-2.45,57.33,2.27,25.31,-8.16
2000,Vancouver,British,158.88,-7,141.06,-8.83,165.74,NA,20.27,-6.89,36.86,-5.02,14.84,-7.48
2001,Vancouver,British,158.88,0,131.08,-7.08,169.57,NA,19.88,-1.92,39.17,6.27,14.15,-4.65
2002,Vancouver,British,155.32,-2.24,133.65,1.96,163.65,NA,20.15,1.36,39.15,-0.05,14.18,0.21
2003,Vancouver,British,161.74,4.13,127.31,-4.74,174.98,NA,18.91,-6.15,38.54,-1.56,13.42,-5.36
2004,Vancouver,British,158.31,-2.12,127.99,0.53,169.97,NA,19.23,1.69,36.71,-4.75,14.17,5.59
2005,Vancouver,British,147.12,-7.07,129.25,0.98,153.99,NA,19.68,2.34,36.64,-0.19,14.21,0.28
2006,Vancouver,British,138.88,-5.6,130.32,0.83,142.18,0,20.88,6.1,35.97,-1.83,15.57,9.57
2007,Vancouver,British,131.82,-5.08,131.67,1.04,131.89,0,20.8,-0.38,34.45,-4.23,15.56,-0.06
2008,Vancouver,British,120.13,-8.87,126.45,-3.96,117.7,0,22.48,8.08,37.2,7.98,16.4,5.4
2009,Vancouver,British,111.59,-7.11,122.05,-3.48,107.57,0,23.34,3.83,37.57,0.99,17.13,4.45
2010,Vancouver,British,103.23,-7.49,110.51,-9.46,100.43,0,24.97,6.98,40.59,8.04,18.37,7.24
2011,Vancouver,British,95.79,-7.21,97.55,-11.73,94.96,NA,25.39,1.68,40.31,-0.69,19.81,7.84
2012,Vancouver,British,94.44,-1.41,94.34,-3.29,94.28,NA,24.53,-3.39,41.22,2.26,18.46,-6.81
2013,Vancouver,British,89.12,-5.63,81.87,-13.22,91.58,NA,25.27,3.02,43.75,6.14,19.25,4.28
2014,Vancouver,British,94.27,5.78,77.57,-5.25,100.15,NA,22.24,-11.99,44.23,1.1,16.05,-16.62
2015,Vancouver,British,94.33,0.06,83.83,8.07,97.96,NA,21.69,-2.47,41.2,-6.85,15.62,-2.68
2016,Vancouver,British,92.83,-1.59,71.08,-15.21,100.43,NA,22.06,1.71,42.37,2.84,16.89,8.13
2017,Vancouver,British,86.77,-6.53,69.59,-2.1,92.75,NA,23.38,5.98,45.85,8.21,17.31,2.49
2018,Vancouver,British,85.65,-1.29,69.18,-0.59,91.37,NA,22.55,-3.55,43.52,-5.08,16.84,-2.72
2019,Vancouver,British,95.43,11.42,80.79,16.78,100.47,NA,22.39,-0.71,41.37,-4.94,16.89,0.3
2020,Vancouver,British,88.65,-7.1,77.43,-4.16,92.48,NA,22.49,0.45,43.03,4.01,16.31,-3.43
2021,Vancouver,British,81.64,-7.91,79,2.03,82.4,NA,20.91,-7.03,37.55,-12.74,15.17,-6.99
2000,Victoria,British,123.11,-13.17,109.94,-8.93,128.17,NA,33.67,-2.97,59.05,-4.53,25.29,-3.8
2001,Victoria,British,117.33,-4.69,97.23,-11.56,125.06,NA,32.68,-2.94,54.55,-7.62,26.14,3.36
2002,Victoria,British,113.46,-3.3,91.87,-5.51,121.77,NA,34.08,4.28,58.05,6.42,27.12,3.75
2003,Victoria,British,113.71,0.22,89.33,-2.76,123.08,NA,32.44,-4.81,54.86,-5.5,26.18,-3.47
2004,Victoria,British,116.24,2.22,83.87,-6.11,128.69,NA,27.55,-15.07,48.93,-10.81,22.19,-15.24
2005,Victoria,British,108.14,-6.97,74.15,-11.59,121.22,NA,27.68,0.47,50.93,4.09,22.21,0.09
2006,Victoria,British,116.97,8.17,81.54,9.97,130.6,0,26.29,-5.02,49.9,-2.02,20.62,-7.16
2007,Victoria,British,107.87,-7.78,80.66,-1.08,118.33,0,29.54,12.36,54.58,9.38,22.98,11.45
2008,Victoria,British,103.29,-4.25,82.32,2.06,111.36,0,27.45,-7.08,50.21,-8.01,20.98,-8.7
2009,Victoria,British,93.18,-9.79,82.53,0.26,97.28,0,32.34,17.81,52.36,4.28,25.8,22.97
2010,Victoria,British,87.26,-6.35,85.51,3.61,87.94,0,35.65,10.24,58.73,12.17,27.02,4.73
2011,Victoria,British,72.89,-16.47,72.99,-14.64,72.7,NA,39.17,9.87,61.82,5.26,30.89,14.32
2012,Victoria,British,70.28,-3.58,64.67,-11.4,72.17,NA,35.31,-9.85,57.51,-6.97,28.08,-9.1
2013,Victoria,British,57.81,-17.74,53.32,-17.55,59.32,NA,36.13,2.32,54.01,-6.09,30.28,7.83
2014,Victoria,British,60.92,5.38,57.01,6.92,62.21,NA,36.93,2.21,59.21,9.63,29.5,-2.58
2015,Victoria,British,70.21,15.25,67.1,17.7,71.2,NA,30.7,-16.87,49.55,-16.31,24.24,-17.83
2016,Victoria,British,62.09,-11.57,55.9,-16.69,64.17,NA,32.28,5.15,55.93,12.88,24.87,2.6
2017,Victoria,British,60.49,-2.58,63.19,13.04,59.38,NA,32.33,0.15,53.92,-3.59,24.06,-3.26
2018,Victoria,British,63.86,5.57,61.42,-2.8,64.59,NA,28.9,-10.61,50.57,-6.21,21.49,-10.68
2019,Victoria,British,73.91,15.74,64.82,5.54,77.01,NA,25.9,-10.38,48.39,-4.31,19.1,-11.12
2020,Victoria,British,76.03,2.87,73.8,13.85,76.65,NA,24.96,-3.63,42.82,-11.51,18.77,-1.73
2021,Victoria,British,71.45,-6.02,82.41,11.67,67.34,NA,25.98,4.09,40.79,-4.74,19.47,3.73
